ID DEPATAMENTO,DEPARTAMENTO,ID MUNICIPIO,MUNICIPIO,ID LOCALIDAD,LOCALIDAD,AÑO SERVICIO,MES SERVICIO,ENERGÍA ACTIVA,ENERGÍA REACTIVA,POTENCIA MÁXIMA,DÍA DE DEMANDA MÁXIMA,FECHA DE DEMANDA MÁXIMA,PROMEDIO DIARIO EN HORAS
19,CAUCA,19809,TIMBIQUÍ,19809009,SANTA ROSA DE SAIJA (TIMBIQUÍ - CAUCA),2022,2,3481,1987,23.5,domingo,02/20/2022 08:15:00 PM,6.19
27,CHOCÓ,27006,ACANDÍ,27006000,ACANDÍ (ACANDÍ - CHOCÓ),2022,2,505932,186015,1094.72,jueves,02/17/2022 08:30:00 PM,21.57
27,CHOCÓ,27006,ACANDÍ,27006007,SAN FRANCISCO (ACANDÍ - CHOCÓ),2022,2,12345,3917,74.74,sábado,02/05/2022 07:30:00 PM,7.54
27,CHOCÓ,27025,ALTO BAUDÓ (PIE DE PATO),27025000,CIUDAD BAUDÓ - PIE DE PATO (ALTO BAUDÓ - CHOCÓ),2022,2,43730,13247,118.01,martes,02/22/2022 07:30:00 PM,23.5
27,CHOCÓ,27075,BAHÍA SOLANO (MUTIS),27075000,CIUDAD MUTIS (BAHÍA SOLANO - CHOCÓ),2022,2,642422,222922,1323.96,jueves,02/24/2022 07:30:00 PM,23.57
27,CHOCÓ,27075,BAHÍA SOLANO (MUTIS),27075001,CUPICA (BAHÍA SOLANO - CHOCÓ),2022,2,64803,24321,155.3,miércoles,02/23/2022 07:00:00 PM,23.56
27,CHOCÓ,27075,BAHÍA SOLANO (MUTIS),27075002,EL VALLE (BAHÍA SOLANO - CHOCÓ),2022,2,142185,62946,333.17,miércoles,02/09/2022 07:00:00 PM,23.33
27,CHOCÓ,27077,BAJO BAUDÓ (PIZARRO),27077905,BUENAVISTA (BAJO BAUDÓ (PIZARRO) - CHOCÓ),2022,2,6459,817,36.51,domingo,02/06/2022 08:00:00 PM,7.12
27,CHOCÓ,27077,BAJO BAUDÓ (PIZARRO),27077011,PILIZA (BAJO BAUDÓ (PIZARRO) - CHOCÓ),2022,2,5232,5278,32,lunes,02/28/2022 08:00:00 PM,7.14
27,CHOCÓ,27077,BAJO BAUDÓ (PIZARRO),27077000,PIZARRO (BAJO BAUDÓ (PIZARRO) - CHOCÓ),2022,2,196013,89798,403.92,lunes,02/21/2022 07:45:00 PM,24
27,CHOCÓ,27099,BOJAYÁ (BELLAVISTA),27099000,BELLAVISTA (BOJAYÁ (BELLAVISTA) - CHOCÓ),2022,2,89123,26794,243.69,miércoles,02/02/2022 08:00:00 PM,17.19
27,CHOCÓ,27099,BOJAYÁ (BELLAVISTA),27099002,LA LOMA DE BOJAYÁ (BOJAYÁ (BELLAVISTA) - CHOCÓ),2022,2,10922,5334,60.8,lunes,02/21/2022 07:30:00 PM,8.2
27,CHOCÓ,27099,BOJAYÁ (BELLAVISTA),27099005,NAPIPÍ (BOJAYÁ (BELLAVISTA) - CHOCÓ),2022,2,8663,2202,64,viernes,02/04/2022 08:30:00 PM,6.2
27,CHOCÓ,27250,EL LITORAL DEL SAN JUAN,27250000,SANTA GENOVEVA DE DOCORDÓ (EL LITORAL DEL SAN JUAN - CHOCÓ),2022,2,55875,31610,154.18,sábado,02/19/2022 12:30:00 PM,23.55
27,CHOCÓ,27250,EL LITORAL DEL SAN JUAN,27250914,TOGOROMA PLAYA (EL LITORAL DEL SAN JUAN - CHOCÓ),2022,2,1076,191,10.53,domingo,02/20/2022 07:00:00 PM,4.17
27,CHOCÓ,27372,JURADÓ,27372000,JURADÓ (JURADÓ - CHOCÓ),2022,2,157964,65281,323.2,miércoles,02/23/2022 07:45:00 PM,23.52
27,CHOCÓ,27425,MEDIO ATRATO (BETÉ),27425000,BETÉ (MEDIO ATRATO (BETÉ) - CHOCÓ),2022,2,14569,9425,60,jueves,02/10/2022 07:30:00 PM,12.1
27,CHOCÓ,27425,MEDIO ATRATO (BETÉ),27425008,SAN ROQUE (MEDIO ATRATO (BETÉ) - CHOCÓ),2022,2,3212,1227,22.75,martes,02/22/2022 07:45:00 PM,5.59
27,CHOCÓ,27495,NUQUÍ,27495912,COMUNIDAD INDÍGENA DE PANGUÍ - EL YUCAL (NUQUÍ - CHOCÓ),2022,2,5597,1564,11.38,domingo,02/20/2022 05:15:00 PM,22.2
27,CHOCÓ,27495,NUQUÍ,27495000,NUQUÍ (NUQUÍ - CHOCÓ),2022,2,230501,91460,492.8,miércoles,02/02/2022 07:15:00 PM,23.59
27,CHOCÓ,27495,NUQUÍ,27495011,PUERTO JAGUA (NUQUÍ - CHOCÓ),2022,2,839,491,4.27,miércoles,02/02/2022 07:30:00 PM,9.45
27,CHOCÓ,27001,QUIBDÓ,27001029,TAGACHI (QUIBDÓ - CHOCÓ),2022,2,4837,1647,47.83,domingo,02/06/2022 07:30:00 PM,4.48
27,CHOCÓ,27800,UNGUÍA,27800001,BALBOA (UNGUÍA - CHOCÓ),2022,2,17751,7325,79.56,viernes,02/18/2022 08:15:00 PM,10.9
27,CHOCÓ,27800,UNGUÍA,27800005,TITUMATE (UNGUÍA - CHOCÓ),2022,2,16504,4348,91.96,domingo,02/13/2022 08:00:00 PM,9.1
27,CHOCÓ,27800,UNGUÍA,27800000,UNGUÍA (UNGUÍA - CHOCÓ),2022,2,356031,126265,803.09,lunes,02/21/2022 08:45:00 PM,22.24
94,GUAINÍA,94343,BARRANCOMINAS,94343000,BARRANCOMINAS (BARRANCOMINAS - GUAINÍA),2022,2,66161,21146,196.37,lunes,02/21/2022 06:45:00 PM,16.8
94,GUAINÍA,94001,INÍRIDA,94001000,INÍRIDA (INÍRIDA - GUAINÍA),2022,2,1884994,626265,3850.88,martes,02/22/2022 06:00:00 PM,24
95,GUAVIARE,95200,MIRAFLORES,95200000,MIRAFLORES (MIRAFLORES - GUAVIARE),2022,2,80340,28067,208.12,miércoles,02/16/2022 07:00:00 PM,19.4
44,LA GUAJIRA,44847,URIBIA,44847012,NAZARETH (URIBIA - LA GUAJIRA),2022,2,23811,10629,103.44,jueves,02/10/2022 07:15:00 PM,12.49
47,MAGDALENA,47189,CIÉNAGA,47189018,PALMOR (CIÉNAGA - MAGDALENA),2022,2,89796,30989,183.55,sábado,02/05/2022 06:45:00 PM,22.54
50,META,50325,MAPIRIPÁN,50325000,MAPIRIPÁN (MAPIRIPÁN - META),2022,2,155610,63124,345.84,miércoles,02/16/2022 07:00:00 PM,23.48
52,NARIÑO,52250,EL CHARCO,52250023,BAZÁN (EL CHARCO - NARIÑO),2022,2,14506,9264,96,domingo,02/20/2022 06:45:00 PM,6.31
52,NARIÑO,52250,EL CHARCO,52250005,LAS MERCEDES (EL CHARCO - NARIÑO),2022,2,1328,423,13.09,domingo,02/27/2022 07:45:00 PM,4.42
52,NARIÑO,52250,EL CHARCO,52250007,SAN JOSÉ DEL TAPAJE (EL CHARCO - NARIÑO),2022,2,12832,3306,80,lunes,02/28/2022 09:00:00 PM,6.52
52,NARIÑO,52520,FRANCISCO PIZARRO,52520013,SAN PEDRO DEL VINO (FRANCISCO PIZARRO - NARIÑO),2022,2,0,0,0,lunes,02/28/2022 11:45:00 PM,0
52,NARIÑO,52390,LA TOLA,52390005,AGUACATAL (LA TOLA - NARIÑO),2022,2,1557,360,11.31,domingo,02/27/2022 03:45:00 PM,6.13
52,NARIÑO,52390,LA TOLA,52390003,LA VIGÍA DE LA MAR (LA TOLA - NARIÑO),2022,2,5427,2153,31.6,sábado,02/05/2022 12:30:00 PM,8.29
52,NARIÑO,52390,LA TOLA,52390009,MULATOS (LA TOLA - NARIÑO),2022,2,3849,1691,35.1,martes,02/15/2022 07:00:00 PM,6.13
52,NARIÑO,52390,LA TOLA,52390016,SAN PABLO DEL MAR (LA TOLA - NARIÑO),2022,2,4013,1250,27.17,lunes,02/07/2022 07:15:00 PM,6.43
52,NARIÑO,52490,OLAYA HERRERA,52490913,BOCA DE PRIETA (OLAYA HERRERA - NARIÑO),2022,2,2187,624,17.04,viernes,02/18/2022 05:45:00 PM,6.29
52,NARIÑO,52835,SAN ANDRÉS DE TUMACO,52835055,BOCAS DE CURAY (TUMACO - NARIÑO),2022,2,7743,2444,57.6,lunes,02/28/2022 07:00:00 PM,6.21
52,NARIÑO,52835,SAN ANDRÉS DE TUMACO,52835016,PITAL DE LA COSTA (TUMACO - NARIÑO),2022,2,15566,8061,80,lunes,02/21/2022 08:15:00 PM,9.4
52,NARIÑO,52835,SAN ANDRÉS DE TUMACO,52835217,SAN JUAN DE LA COSTA (SAN ANDRÉS DE TUMACO - NARIÑO),2022,2,22030,8253,121.6,miércoles,02/23/2022 07:15:00 PM,8.33
52,NARIÑO,52696,SANTA BÁRBARA (ISCUANDÉ),52696022,SECADERO (SANTA BÁRBARA (ISCUANDÉ) - NARIÑO),2022,2,2267,1509,12.79,domingo,02/06/2022 07:00:00 PM,8.42
86,PUTUMAYO,86573,PUERTO LEGUÍZAMO,86573009,PIÑUÑA NEGRO (PUERTO LEGUÍZAMO - PUTUMAYO),2022,2,3526,2066,25.6,domingo,02/27/2022 08:45:00 PM,6.4
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109028,PUERTO MERIZALDE (BUENAVENTURA - VALLE DEL CAUCA),2022,2,59324,19666,207.68,miércoles,02/23/2022 07:45:00 PM,12.29
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109032,SAN FRANCISCO NAYA (BUENAVENTURA - VALLE DEL CAUCA),2022,2,2686,1108,31.62,viernes,02/25/2022 12:15:00 PM,4.1
97,VAUPÉS,97161,CARURÚ,97161000,CARURÚ (CARURÚ - VAUPÉS),2022,2,18850,3264,75.42,lunes,02/21/2022 07:00:00 PM,12.1
97,VAUPÉS,97001,MITÚ,97001000,MITÚ (MITÚ - VAUPÉS),2022,2,1219475,264202,2774.44,miércoles,02/02/2022 12:00:00 PM,24
97,VAUPÉS,97666,TARAIRA,97666000,TARAIRA (TARAIRA - VAUPÉS),2022,2,17043,4932,129.18,lunes,02/21/2022 07:00:00 PM,6.19
99,VICHADA,99773,CUMARIBO,99773000,CUMARIBO (CUMARIBO - VICHADA),2022,2,307928,122974,740.96,martes,02/01/2022 03:30:00 PM,20.47
99,VICHADA,99524,LA PRIMAVERA,99524000,LA PRIMAVERA (LA PRIMAVERA - VICHADA),2022,2,345900,141059,711.09,martes,02/22/2022 07:00:00 PM,23.58
99,VICHADA,99001,PUERTO CARREÑO,99001002,CASUARITO (PUERTO CARREÑO - VICHADA),2022,2,31961,11659,120.21,lunes,02/14/2022 06:15:00 PM,11.36
99,VICHADA,99001,PUERTO CARREÑO,99001000,PUERTO CARREÑO (PUERTO CARREÑO - VICHADA),2022,2,2401329,765683,4766.96,jueves,02/24/2022 01:45:00 PM,23.59
99,VICHADA,99624,SANTA ROSALÍA,99624000,SANTA ROSALÍA (SANTA ROSALÍA - VICHADA),2022,2,140866,71137,383.71,jueves,02/17/2022 06:45:00 PM,18.24
91,AMAZONAS,91001,LETICIA,91001000,LETICIA (LETICIA - AMAZONAS),2022,3,3724790,1103082,7322.14,viernes,03/18/2022 03:30:00 PM,23.57
91,AMAZONAS,91540,PUERTO NARIÑO,91540000,PUERTO NARIÑO (PUERTO NARIÑO - AMAZONAS),2022,3,117539,39742,239.01,martes,03/15/2022 06:45:00 PM,24
91,AMAZONAS,91798,TARAPACÁ (ANM),91798000,TARAPACÁ (TARAPACÁ (ANM) - AMAZONAS),2022,3,23711,10759,84.8,martes,03/22/2022 06:30:00 PM,10.24
5,ANTIOQUIA,5873,VIGÍA DEL FUERTE,5873002,VEGÁEZ (VIGÍA DEL FUERTE - ANTIOQUIA),2022,3,3508,379,55.97,miércoles,03/09/2022 07:45:00 PM,4.39
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88564,PROVIDENCIA,88564000,PROVIDENCIA (PROVIDENCIA - ARCHIPIÉLAGO DE SAN ANDRÉS Y PROVIDENCIA),2022,3,1060073,271254,1745.72,miércoles,03/30/2022 09:00:00 PM,24
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88001,SAN ANDRÉS,88001000,SAN ANDRÉS (SAN ANDRÉS - ARCHIPIÉLAGO DE SAN ANDRÉS Y PROVIDENCIA),2022,3,17750913,4825091,29965.55,jueves,03/24/2022 03:45:00 PM,24
13,BOLÍVAR,13001,CARTAGENA DE INDIAS,13001037,ISLA MÚCURA (CARTAGENA DE INDIAS - BOLÍVAR),2022,3,6967,2812,19.52,domingo,03/20/2022 02:00:00 AM,15.52
13,BOLÍVAR,13001,CARTAGENA DE INDIAS,13001017,SANTA CRUZ DEL ISLOTE (CARTAGENA DE INDIAS - BOLÍVAR),2022,3,13014,4343,35.71,jueves,03/31/2022 09:45:00 PM,15
18,CAQUETÁ,18150,CARTAGENA DEL CHAIRÁ,18150001,REMOLINO DEL CAGUÁN (CARTAGENA DEL CHAIRA - CAQUETÁ),2022,3,16473,7912,84.97,sábado,03/05/2022 07:15:00 PM,8.9
18,CAQUETÁ,18150,CARTAGENA DEL CHAIRÁ,18150002,SANTA FE DEL CAGUÁN (CARTAGENA DEL CHAIRA - CAQUETÁ),2022,3,3423,1576,38.04,sábado,03/26/2022 06:45:00 PM,3.37
18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,18753002,GUACAMAYAS (SAN VICENTE DEL CAGUÁN - CAQUETÁ),2022,3,15279,6406,43.39,jueves,03/24/2022 07:30:00 PM,17.37
18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,18753009,PUERTO BETANIA (SAN VICENTE DEL CAGUÁN - CAQUETÁ),2022,3,5381,2106,47.4,martes,03/08/2022 07:00:00 PM,5.6
85,CASANARE,85430,TRINIDAD,85430001,BOCAS DEL PAUTO (TRINIDAD - CASANARE),2022,3,12830,6922,116.22,miércoles,03/02/2022 06:30:00 PM,5
19,CAUCA,19318,GUAPI,19318008,LIMONES (GUAPI - CAUCA),2022,3,8709,3984,38.47,jueves,03/17/2022 07:30:00 PM,9.25
